instance,insertion,first,random,mid,median 3,median 3 random,median 9,median 9 random,dual pivot
39-10000,SAT:1.05:1.05:1.05:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
40-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0
41-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
42-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
43-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
44-10000,SAT:1.01:1.01:1.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
45-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
46-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
47-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
48-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
49-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
50-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
51-10000,SAT:1.0:1.0:1.0:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
52-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
53-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
54-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
55-10000,SAT:1.0:1.0:1.0:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
