instance,insertion,first,random,mid,median 3,median 3 random,median 9,median 9 random,dual pivot
83-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
84-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
85-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
86-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
87-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
88-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
89-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
90-10000,SAT:1.02:1.02:1.02:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
91-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
92-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
93-10000,SAT:1.02:1.02:1.02:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
94-10000,SAT:1.01:1.01:1.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
95-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
96-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
97-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
98-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0
99-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
100-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0
101-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
102-10000,SAT:1.03:1.03:1.03:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
103-10000,SAT:0.98:0.98:0.98:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
104-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
105-10000,SAT:0.98:0.98:0.98:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
106-10000,SAT:0.98:0.98:0.98:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
107-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
